title	story	rule	source
壁櫃門	"壁櫃的櫃門微開一條縫，裡面應該有些東西。將“壁櫃”標記放到這房間。任何身處這房間的人都可打開這壁櫃。

擲2粒骰子決定后果。"	"骰數总和等于4：抽取1張物品牌。

骰數总和是2至3：翻開1張事件牌。

骰數总和是0至1：翻開1張事件牌并丢弃“壁櫃”標記。"	core
煙霧	濃煙滾滾地從四處涌現。你流着淚水，喉頭刺痛。	"將“煙霧”標記放到這房間上。這濃煙如牆壁般阻礙視線。房間外的人物無法看到這房間內的事物。人物在這房間內進行任何“能力考驗”時，將少擲2粒游戲骰（骰子數目最少仍有1粒）。

進行襲擊不是“能力考驗”，不受“煙霧”影響。"	core
絲網	"沿路你撥掃一個蜘蛛網，但這些絲綫緊緊的粘着你。

你需要以“力量”進行“能力考驗”。"	"骰數总和大於等于4：你掙脫了蜘蛛網。你的“力量”上升1個級別。

骰數总和是0至3：你給纏着了。你保留這張卡牌。保留期間，不可進行任何行動，也不可使用物品。其它進入這房間的人物，能以“力量”進行“能力考驗”來解救被困的你。若擲出的點數總和是4或以上；被困的你重獲自由。

3次解救失敗後，被困的你也會重獲自由。自由后丟弃此牌。

你同樣可在自己的回合嘗試解救自己。若成功，下回合才可如常行動。"	core
鏡中影像（第二張）	"房中古老的大鏡中映着驚惶失措的你。忽然間你悟到鏡中的是另一時空的自己，而鏡中的你在鏡面上寫下了：

救命用！

并且手里拿着一件物品伸向你。"	你抽取1張物品牌。	core
凶邪玩偶	"這房內有一排的玩偶，你爲其中一個透着凶狠而感到馱然。這玩偶突然躍起，手拿小矛刺向你。

這是一個針對你的4點“力量”襲擊，由你右方另一位玩家代擲4粒骰。"	"若你勝出這場比拼，則該卡牌無效。

若你受到“肉體損傷”，則持有“戈矛”的人物“力量”上升2個級別。若持有“戈矛”的人物正好是你，則無此效果。"	core
牆上有眼	"一組褪色的肖像挂在牆上。他們的眼睛看上去正盯着你。這只是畫家的技法嗎？不，這安静的，了無生氣的臉龐正準備告訴你一些事情

你需以“神志”進行“能力考驗”。"	"骰數0-2：“神志”下降1個級別。

骰數3：“知識”上升1個級別。

骰數大於等于4：如果“軍火庫”在遊戲中，則將你的人偶放到它上面并摸取一張物品牌；否則就將“軍火庫”找出來并放置在大宅中并將你的人偶在其上，隨后洗混房間板塊堆。"	core
神秘滑道	"這卡牌只影響非身處于“地下”的人物。若你正處于“地下”，則將這牌傳給左方身處于“地下”的玩家。若所有玩家都身處于“地下”，則丢弃此牌。

你腳下的地板忽然松開將“滑道”標記放到這房間上，你需以“力量”進行“能力考驗”。"	"骰數总和大於等于5：你成功操控滑道。你可墜落到任何樓層較低的房間內。

骰數总和是0至4：你急墜至最深處。擲骰1粒，骰數即為你受到的“肉體損傷”數。而后如探險般，翻開一間在“地下”的房間，你將墜落至該房間。

若沒有未翻開的“地下”房間，則你可墜落至任何一個“地下”房間。若并非在你的回合，不可在新房間抽卡。"	core
焦慮的響聲	"遺弃嬰兒的喊聲、高聲的尖叫、玻璃破裂聲、然后一片寂靜。

你需擲骰6粒。"	"若其點數和大於等于翻開的預兆牌數目，則你的“神志”上升1個級別。

否則擲骰1粒，其點數即你受到的“精神損傷”。"	core
迷失神志	"一名身穿舊式禮服的新娘子朝你招手，你頓時恍惚出神。

你需要以“知識”進行“能力考驗”。"	"除非骰數总和大於等于5：你回復神志，你的“知識”上升1個級別，否則你擲骰3粒以決定后果：

骰數总和是6：你回到“入口”。

骰數总和是4至5：你回到“上臺階”。

骰數总和是2至3：如探險般,翻開一個“樓上”的房間,將將到新的房間。

骰數总和是0至1：如探險般,翻開一個“地下”的房間,將將到新的房間。

因此而新翻開的房間,你可能要抽取新的卡牌。"	core
腐敗惡臭	"這間房間充滿着惡臭、腐敗、血腥、尸臭，屠宰場的臭味。

你需以“神志”進行“能力考驗”。"	"骰數总和于或大于5：難聞的氣味，忍忍即可，你的“神志”上升1個級別。

骰數总和是2至4：你的“力量”下降1個級別。

骰數总和是1：你的“力量”及“速度”皆下降1個級別。

骰數总和是0：你感到反胃，并嘔吐不止。你的每項“能力”皆下降1個級別。"	core
毛骨悚然	"成千上萬的昆蟲從你皮膚下鑽出來，在你的衣服和頭發下蠕動。

你需要以“神志”進行“能力考驗”。"	"骰數总和大於等于5：扎眼間蟲群消失，你的“神志”上升1個級別。

骰數总和是1至4：蟲群漸漸散去，你的“神志”下降1個級別。

骰數总和是0：你無法擺脱這夢魔般的幻境，你的“神志”下降2個級別。"	core
隱藏梯間	令人恐懼的吱吱嘎嘎聲圍着你，聲音停止時，在你面前出現了一條樓梯。	"將“隱藏梯間”標記放到這房間，將另一“隱藏梯間”標記放到另一樓層中任何房間中。

發現這“隱藏梯間”的你可即時通過“隱藏梯間”停在另一房間，這時你需多翻1張“事件牌”。

之后任何在“隱藏梯間”兩端房間的人物，皆可使用這“隱藏梯間”往返這兩個房間。"	core
電話鈴聲	房內的一具電話響起鈴聲，你無法抗拒接起的沖動。話筒中傳來細小柔和的老婦人的話語。你擲2粒骰決定后果。	"骰數是4：“茶點，我最喜歡的茶點...”，你的“神志”上升1個級別。

骰數是3：“小鍋餅逃不過我的視綫...”，你的“知識”上升1個級別。

骰數是1至2：“寶貝給我一個吻...”，擲骰1粒，點數即你受到的“精神損傷”。

骰數是0：“壞小孩一定要受到懲罰！”，擲骰2粒，點數即你受到的“肉體損傷”。"	core
血腥影像	"這房間沾滿鮮血，天花板滴血、牆身滲血、家具浸血。鮮血流至你的腳邊...眨眼間消失不見。

你需以“神志”進行“能力考驗”。"	"骰數总和大於等于4：你沒有被此嚇倒。你的“神志”上升1個級別。

骰數总和是2至3：你的“神志”下降1個級別。

骰數总和是0至1：你發狂了！你必須向同房的人物或怪物進行襲擊。若同房沒有人物或怪物，則檢視其它鄰近的房間（1步距離）。鄰近房間若有其它人物或怪物，則你移動1步進行襲擊。多餘一個襲擊目標時，選其中“力量”最小的。"	core
蜘蛛	"拳頭般大的蜘蛛落在你的身上，現在正注視你頭髮里鑽。

你需要以“速度”進行“能力考驗”（掙走蜘蛛）、或以“神志”進行“能力考驗”（靜止不動）。"	"骰數总和大於等于4：蜘蛛離你而去。你選擇進行“能力考驗”的“能力”上升1個級別。

骰數总和是1至3：你被叮了一下，擲骰1粒，其點數就是你所受到的“肉體傷害”。

骰數总和是0：你被狠狠咬了一口，擲骰2粒，其點數就是你所受到的“肉體傷害”。"	core
駭人尖叫	"耳語般的呢喃漸化成撼動心靈的尖呼。

所有人物皆需要以“神志”進行“能力考驗”。"	"骰數总和大於等于4：你抵御住了這另人心寒的呼喊。

骰數总和是1至3：擲骰1粒，其點數即人物所受到的“精神損傷”。

骰數总和是0：有人被嚇的尿屎齊流。擲骰2粒，其點數即人物所受到的“精神損傷”。

每個人物只需承受自己“能力考驗”的后果。"	core
瓦礫	"泥土瓦礫從牆壁和天花板塌下來。

你需以“速度”進行“能力考驗”。"	"骰數总和大於等于3：你躲開塌下的瓦礫。你的“速度”上升1個級別。

骰數总和是1至2：你遭瓦礫掩埋，擲骰1粒，其點數即你受到的“肉體損傷”。

骰數总和是0：你遭大量瓦礫掩埋，擲骰2粒，其點數即你受到的肉體損傷。

若你遭瓦礫掩埋，則保留該卡牌。保留卡牌期間，不可進行任何行動，也不可使用物品。其它進入這房間的人物，能以“力量”進行“能力考驗”來解救被困的你。

若骰數总和大於等于4或三次解救失敗后，被困的你重獲自由。你同樣可在自己的回合嘗試解救自己。若成功，下回合才可如常行動。"	core
脈動的牆壁	四周的牆壁如肌肉般透出熱量，並如你心臟般跟動。你步入牆壁中,未知的地方慢慢浮現出來。	"你離開身處的房間，進入未知的空間。

如探險般，翻開一間新的房間，你進入到這房間。"	core
暗夜影像	"你看到兩名身穿結婚禮服、幽靈般的男女無聲地漫步。

你需以“知識”進行“能力考驗”。"	"骰數总和大於等于5：你認出這對夫妻曾居于這大宅內，你呼喊兩人，這兩人面朝向你,在你耳邊透露這大宅隱秘的歷史。你的“知識”上升1個級別。

骰數总和是0至4：你滿心恐懼，不敢再凝視兩人。"	core
捕蠅器	一株巨大的異國植物佇立在錯雜的燈管和管道下面。它的葉子棕黃枯萎,它巨大的花葵半開半合,等待着滋養。它需要水。它需要你的血液澆灌。	擲1枚骰并受到其點數數量的“肉體損傷”，將一個植物標志物放在你的房間里並獲取本卡牌。在真相被揭露後,任何對手進入該房間時,你都可以向他發起一次“力量”為7的襲擊。	core
凜冽強風	"一陣暖風吹來,風力漸強...最終化成怒吼！

所有身處“庭院”、“墓園”、“天井”、“塔樓”、“露臺”、或擁有向外窗戶的房間的人物,皆需以“力量”進行“能力考驗”。"	"骰數总和大於等于5：你堅定的站立着。

骰數总和是3至4：你被風吹倒了。擲骰1粒，其點數即你受到的“肉體損傷”。

骰數总和是1至2：這寒風凍結了你的靈魂。擲骰1粒，其點數即你受到的“精神損傷”。

骰數总和是0：強風吹翻了你。擲骰1粒，其點數即你受到的“肉體損傷”。你放棄一張物品牌（如有）放到“入口處”。

每人只承受自己“能力考驗”的后果。"	core
粘滑的東西	"什么東西正纏着你的足踝？蟲子？觸須？亡者之手？

你需以“速度”進行“能力考驗”。"	"骰數总和大於等于4：你掙脫開纏繞的東西。你的“速度”上升1個級別。

骰數总和是1至3：纏繞物讓你四肢乏力。你的“力量”下降1個級別。

骰數总和是0：你的“力量”及“速度”皆下降1個級別。"	core
隱藏的事物	"這房間給你種奇異感覺，究竟是哪有古怪？

你可以選擇以“知識”進行“能力考驗”，嘗試找出問題何在。"	"骰數总和大於等于4：你找到一個壁龕。你抽1張“物品牌”。

骰數总和是0至3：你一無所獲并深感挫折。你的“神志”下降1個級別。"	core
契約	"這里有一份契約事關你靈魂的歸屬。

你可以簽署這份契約。如果這麼做了，以“知識”進行一次“能力考驗”來閱讀它的條款："	"骰數0-1：白白喪失了你的靈魂。你的“神志”下降1個級別。

骰數2-3：你失去了靈魂但獲得了能力。你的“神志”下降1個級別然后抓1張物品牌。

骰數4：你發現一個小漏洞，保留了自己的靈魂。抓1張物品牌。

骰數大於等于5：你充分利用了合約并保留了靈魂。你的“神志”上升1個級別并拆1張物品牌。"	core
燃燒的人	"一名渾身着火的人跑過這房間。其身體在高熱下支支、崩潰，剩下火球般的頭顱在地上滾動，最后化為灰燼消失。

你需以“神志”進行“能力考驗”。"	"骰數总和大於等于4：你只覺得領口下有點悶熱而已。你的“神志”上升1個級別。

骰數总和是2至3：逃開！你覺得需要馬上逃走。你逃回到“入口”處。

骰數总和是0至1：你燃燒起來，擲骰1粒，其點數即你受到的“肉體損傷”。再擲骰1粒，其點數即你熄滅火焰時受到的“精神損傷”。"	core
着魔	"一個黑影從牆上滲出。驚恐間黑影已經圍繞着你急轉。站在中心的你只感到渾身冰冷。

你需任意選擇一項“能力”進行“能力考驗”。"	"骰數总和等于或大於4：你抗拒這黑影的侵蝕。你可以選擇一項“能力”上升1個級別。

骰數总和是0至3：黑影正侵蝕你的身體。你選擇進行這“能力考驗”的“能力”下降至最低值（只比“骷髏”圖案高1級）。若該項“能力”已處于最低值，則將另一項“能力”下降至最低值。"	core
絞死者	"一陣冷風吹過，你回頭只見三具用繩吊着的尸體。它們以冰冷了無生氣的瞳目凝視着你。突然繩索崩斷，三具尸體穿過塵封的地板消失，你頓覺窒息難受。

你的每項能力都需進行“能力考驗”。"	"骰數总和大於等于2：該項能力無特別影響。

骰數总和是0至1：該項能力下降1個級別。

如果你4項能力的骰數皆是2或2以上，你可選擇其中1項能力上升1個級別。"	core
變異寵物	"一聲“喵”。來自牆內。是只貓嗎？第二聲號叫從牆內的同一個位置迸發而出，不一樣的貓科動物的聲音。兩只貓？你只聽見一個刮擦聲。兩個頭？你扒開牆泥來探求究竟

你需以“速度”進行“能力考驗”"	擲出的骰數需要大於等于4。如果失敗了，被寵物抓到，受到1點肉體損傷；成功的話，“神志”和“速度”上升1個級別。	core
究竟是怎么回事？	你回望自己走過的門廊，卻只見迷霧中一切都仿彿消失不見。	將這房間連同放在房間中的物件、標記、人物等，重新擺放到同一樓層的另一位置。若同一樓層并無新的位置擺放這房間，則將這房間放到另一樓層。	core
無聲無息	"地下世界寂靜無聲，剎瞬間仿彿呼吸心跳也沒有。

所有身處“地下”的人物皆需要以“神志”進行“能力考驗”。"	"骰數总和大於等于4：你靜靜等待聽覺恢復。

骰數总和是1至3：你無聲的尖叫，擲骰1粒，其點數即人物所受到的“精神損傷”。

骰數总和是0：你陷入無意識狀態。擲骰2粒，其點數即人物所受到的“精神損傷”。

每個人物只需承受自己“能力考驗”的后果。"	core
燈滅	你的手電筒忽然熄滅。不過無需擔心，其它人還有電池。	"你保留這張卡牌。保留這牌期間，你在回合中移動時，只可進入1個房間。只有當你和其它人物停留在同一房間，你才可去弃此卡牌，恢復正常移動。

若你擁有“蠟燭”、或停留在“暖爐房”，則弃此卡牌，恢復正常移動。"	core
哎喲！	你感到一具身體在你腳下，在你跳開他的時候，你被絆倒了。倒下的你只聽到咯咯的笑語，回望地上並無異樣。	將你的“物品牌”洗亂（不是預兆牌），由你右方的另一玩家隨機抽取一張并弃掉。之後重新將你的“物品牌”正面朝上放置在桌面上。	core
雷擊	"在你看見閃電後，你開始倒數計秒。

所有在屋頂層或室外的房間里的探險者，需以“力量”進行一次“能力考驗”："	"骰數0：受到2點“肉體損傷”。

骰數1-3：受到1點“肉體損傷”。

骰數大於等于4：平安無事。"	core
